,Name,PV,PV/pass,Passes,Position,Team,games,rPV/pass,Rating
372,Fágner Conserva Lemos,1.4129001750786943,0.006196930592450413,228.0,Back,Brazil,4,0.62,-0.42459140747098295
373,Thomas Meunier,1.445164512859589,0.006123578444320292,236.0,Back,Belgium,5,0.62,-0.42459140747098295
374,Mohammed Al Burayk,1.4860523802755765,0.006243917564183094,238.0,Back,Saudi Arabia,3,0.62,-0.42459140747098295
375,Raphaël Adelino José Guerreiro,1.5751650657861738,0.006250655022961007,252.0,Back,Portugal,4,0.62,-0.42459140747098295
376,João Miranda de Souza Filho,1.5980390066563064,0.006242339869751197,256.0,Back,Brazil,5,0.62,-0.42459140747098295
377,Mário Figueira Fernandes,1.6237855955712182,0.006245329213735455,260.0,Back,Russia,5,0.62,-0.42459140747098295
378,Vincent Kompany,1.7280920740604528,0.006238599545344595,277.0,Back,Belgium,5,0.62,-0.42459140747098295
379,Kalidou Koulibaly,0.7030759253884196,0.0062219108441453055,113.0,Back,Senegal,3,0.62,-0.42459140747098295
380,Thiago Emiliano da Silva,1.7959183512387704,0.006214250350307164,289.0,Back,Brazil,5,0.62,-0.42459140747098295
381,Marcelo Vieira da Silva Júnior,1.8122325259972059,0.006227603182120982,291.0,Back,Brazil,4,0.62,-0.42459140747098295
382,Ivan Strinić,1.8429305346265628,0.006184330653109271,298.0,Back,Croatia,6,0.62,-0.42459140747098295
383,Manuel Obafemi Akanji,1.8867742230018902,0.006206494154611481,304.0,Back,Serbia,4,0.62,-0.42459140747098295
384,Domagoj Vida,1.9570424076677346,0.006173635355418722,317.0,Back,Denmark,6,0.62,-0.42459140747098295
385,Benjamin Pavard,1.9971146952625138,0.006240983422695356,320.0,Back,France,6,0.62,-0.42459140747098295
386,Raphaël Varane,2.0982031107485732,0.0061893897072229295,339.0,Back,France,7,0.62,-0.42459140747098295
387,Jan Vertonghen,2.178886707141355,0.00619001905437885,352.0,Back,Belgium,6,0.62,-0.42459140747098295
388,Gerard Piqué Bernabéu,2.1789995642505455,0.006155366000707756,354.0,Back,Spain,4,0.62,-0.42459140747098295
389,Dejan Lovren,2.2887384356317866,0.006152522676429534,372.0,Back,Croatia,7,0.62,-0.42459140747098295
390,Šime Vrsaljko,2.297249857886494,0.006142379299161749,374.0,Back,Croatia,6,0.62,-0.42459140747098295
391,Jordi Alba Ramos,2.5579767449707114,0.006178687789784327,414.0,Back,Spain,4,0.62,-0.42459140747098295
392,Toby Alderweireld,2.7667295333993924,0.0062034294470838395,446.0,Back,Belgium,6,0.62,-0.42459140747098295
393,Fabian Lukas Schär,1.3216537750557174,0.006147226860724267,215.0,Back,Switzerland,3,0.62,-0.42459140747098295
394,Davinson Sánchez Mina,1.3026617320938583,0.006232831254037599,209.0,Back,Colombia,4,0.62,-0.42459140747098295
395,Miguel Ángel Trauco Saavedra,1.2600324532933822,0.006207056420164445,203.0,Back,Peru,3,0.62,-0.42459140747098295
396,Henrik Dalsgaard,1.226058381814824,0.006223646608197076,197.0,Back,Denmark,4,0.62,-0.42459140747098295
397,Yong Lee,0.7293209126668694,0.00612874716526781,119.0,Back,South Korea,3,0.62,-0.42459140747098295
398,Youssouf Sabaly,0.732913080579615,0.0062111278015221615,118.0,Back,Senegal,3,0.62,-0.42459140747098295
399,Christian Guillermo Martín Ramos Garagay,0.7383249957056495,0.006204411728618903,119.0,Back,Peru,3,0.62,-0.42459140747098295
400,William Troost-Ekong,0.7427582204490518,0.006241665718059259,119.0,Back,Nigeria,3,0.62,-0.42459140747098295
401,Achraf Hakimi Mouh,0.7566170267949399,0.006201778908155245,122.0,Back,Morocco,3,0.62,-0.42459140747098295
402,Diego Sebastián Laxalt Suárez,0.7697473558577631,0.006258108584209456,123.0,Back,Uruguay,4,0.62,-0.42459140747098295
403,Ahmed Hegazi,0.777042002407733,0.006216336019261864,125.0,Back,Egypt,3,0.62,-0.42459140747098295
404,Salif Sané,0.7775429573838257,0.006220343659070606,125.0,Back,Senegal,3,0.62,-0.42459140747098295
405,Filipe Luis Kasmirski,0.8075868783887371,0.006260363398362303,129.0,Back,Brazil,2,0.62,-0.42459140747098295
406,Leon-Aderemi Balogun,0.8130800474631563,0.006206717919566079,131.0,Back,Nigeria,3,0.62,-0.42459140747098295
407,Osama Abdulrezag Hawsawi,0.8257193630050506,0.006255449719735231,132.0,Back,Saudi Arabia,3,0.62,-0.42459140747098295
408,Luis Jan Piers Advíncula Castrillón,0.8937667359317708,0.00620671344397063,144.0,Back,Peru,3,0.62,-0.42459140747098295
409,Héctor Alfredo Moreno Herrera,0.896087275304604,0.006137584077428794,146.0,Back,Mexico,3,0.62,-0.42459140747098295
410,Stephan Lichtsteiner,0.9411172344944164,0.006191560753252739,152.0,Back,Switzerland,3,0.62,-0.42459140747098295
411,Josip Pivarić,0.9816177968295878,0.0062127708660100495,158.0,Back,Croatia,4,0.62,-0.42459140747098295
412,Yerry Fernando Mina González,0.9850774613225993,0.006195455731588675,159.0,Back,Colombia,3,0.62,-0.42459140747098295
413,Faustino Marcos Alberto Rojo,0.9925462846451076,0.006126828917562393,162.0,Back,Iceland,3,0.62,-0.42459140747098295
414,Sergei Ignashevich,0.9938087730584089,0.006211304831615055,160.0,Back,Egypt,5,0.62,-0.42459140747098295
415,Ilya Kutepov,1.025236319086089,0.006213553449006599,165.0,Back,Egypt,5,0.62,-0.42459140747098295
416,Ahmed Fathy Abdel Meneim Ibrahim,1.043825478784952,0.006213246897529476,168.0,Back,Egypt,3,0.62,-0.42459140747098295
417,Jan Bednarek,1.0621168738739306,0.006247746316905474,170.0,Back,Poland,3,0.62,-0.42459140747098295
418,Jesús Daniel Gallardo Vasconcelos,1.1061801497669614,0.006145445276483119,180.0,Back,Mexico,4,0.62,-0.42459140747098295
419,Mohamed Abdul Shafy Sayed Abouezeid,1.1128149002664665,0.006216843018248416,179.0,Back,Egypt,3,0.62,-0.42459140747098295
420,Gen Shōji,1.115592637680588,0.006232361104360827,179.0,Back,Japan,3,0.62,-0.42459140747098295
421,Jérôme Boateng,1.1418350522293508,0.006205625283855167,184.0,Back,Germany,2,0.62,-0.42459140747098295
422,Yassine Meriah,1.156291840255091,0.006216622797070382,186.0,Back,Tunisia,3,0.62,-0.42459140747098295
423,Anga Dedryck Boyata,1.1906778145175085,0.006201446950612023,192.0,Back,Belgium,3,0.62,-0.42459140747098295
424,Hiroki Sakai,1.2034917101249043,0.006235708342616084,193.0,Back,Senegal,4,0.62,-0.42459140747098295
425,Marvin Plattenhardt,0.14763723163100945,0.006151551317958727,24.0,Back,Germany,1,0.62,-0.42459140747098295
426,Mahmoud Abdul Monem Abdelhamid Soliman,0.1312609653175918,0.0062505221579805615,21.0,Forward,Egypt,3,0.62,-0.49209626524421324
427,Luis Carlos Tejada Hansell,0.132474324028414,0.00630830114421019,21.0,Striker,Panama,2,0.62,-0.49209626524421324
428,Kevin De Bruyne,2.1707264259853045,0.006202075502815155,350.0,Striker,Belgium,6,0.62,-0.49209626524421324
429,Mehdi Carcela-González,0.05111437061675045,0.006389296327093806,8.0,Forward,Morocco,1,0.62,-0.49209626524421324
430,Pape Moussa Konaté,0.03719285380979734,0.006198808968299556,6.0,Forward,Senegal,2,0.62,-0.49209626524421324
431,Mohanad Aseri Abu Radiah,0.036766026396351154,0.006127671066058525,6.0,Forward,Egypt,2,0.62,-0.49209626524421324
432,Ismael Díaz De León,0.031551310083170414,0.006310262016634083,5.0,Wing,Panama,1,0.62,-0.49209626524421324
433,Kasper Dolberg,0.030450524629996607,0.006090104925999321,5.0,Forward,Denmark,1,0.62,-0.49209626524421324
434,Rodney Wallace,0.030051122347565035,0.006010224469513007,5.0,Wing,Costa Rica,1,0.62,-0.49209626524421324
435,Youssef En-Nesyri,0.02891139335658682,0.005782278671317364,5.0,Forward,Morocco,1,0.62,-0.49209626524421324
436,Maximiliano Gómez González,0.024982993251142956,0.006245748312785739,4.0,Forward,Uruguay,2,0.62,-0.49209626524421324
437,Aleksandar Prijović,0.019000523834150757,0.006333507944716919,3.0,Forward,Serbia,1,0.62,-0.49209626524421324
438,Raúl Mario Ruidíaz Misitich,0.01860968437371332,0.006203228124571106,3.0,Wing,Peru,2,0.62,-0.49209626524421324
439,Oribe Peralta Morones,0.018363825609454723,0.006121275203151574,3.0,Forward,Mexico,1,0.62,-0.49209626524421324
440,Aziz Bouhaddouz,0.01778932328065392,0.00592977442688464,3.0,Forward,Morocco,2,0.62,-0.49209626524421324
441,Diafra Sakho,0.012550940344744127,0.006275470172372064,2.0,Forward,Senegal,1,0.62,-0.49209626524421324
442,Arnór Ingvi Traustason,0.012373487564240355,0.006186743782120177,2.0,Wing,Iceland,1,0.62,-0.49209626524421324
443,Albert Gudmundsson,0.012373487557019617,0.0061867437785098085,2.0,Forward,Iceland,1,0.62,-0.49209626524421324
444,Daniel Nii Tackie Mensah Welbeck,0.006275827568234921,0.006275827568234921,1.0,Forward,England,1,0.62,-0.49209626524421324
445,Miguel Ángel Borja Hernández,0.006275470172372064,0.006275470172372064,1.0,Forward,Colombia,1,0.62,-0.49209626524421324
446,Simeon Tochukwu Nwankwo,0.006109037760675509,0.006109037760675509,1.0,Forward,Nigeria,1,0.62,-0.49209626524421324
447,Florian Thauvin,0.0060748802222475645,0.0060748802222475645,1.0,Wing,France,1,0.62,-0.49209626524421324
448,Dawid Kownacki,0.15607111124998668,0.006002735048076411,26.0,Wing,Poland,2,0.62,-0.49209626524421324
449,Khalid Boutaïb,0.15944899363728465,0.006132653601434025,26.0,Forward,Morocco,2,0.62,-0.49209626524421324
450,Ramadan Sobhi,0.16048216791247577,0.006172391073556761,26.0,Wing,Egypt,3,0.62,-0.49209626524421324
451,Michy Batshuayi Tunga,0.16637355709646398,0.006161983596165333,27.0,Forward,Belgium,2,0.62,-0.49209626524421324
452,Iago Aspas Juncal,0.17316369639770882,0.0061844177284896005,28.0,Forward,Spain,3,0.62,-0.49209626524421324
453,Carlos Arturo Bacca Ahumada,0.18099178469601307,0.006241096024000451,29.0,Forward,Colombia,3,0.62,-0.49209626524421324
454,Eden Hazard,1.684483834855231,0.006215807508690889,271.0,Wing,Belgium,6,0.62,-0.49209626524421324
455,Daniel Colindres Solera,0.20599266811536773,0.00605860788574611,34.0,Wing,Costa Rica,2,0.62,-0.49209626524421324
456,Blas Antonio Miguel Pérez Ortega,0.21820091337168931,0.006234311810619695,35.0,Forward,Panama,2,0.62,-0.49209626524421324
457,John Guidetti,0.044273862880375124,0.0063248375543393034,7.0,Forward,Sweden,2,0.62,-0.49209626524421324
458,Mame Biram Diouf,0.05550387152280824,0.006167096835867582,9.0,Forward,Senegal,2,0.62,-0.49209626524421324
459,Gonzalo Gerardo Higuaín,0.22459333238848314,0.006070090064553599,37.0,Forward,Argentina,3,0.62,-0.49209626524421324
460,Tim Cahill,0.05627519802311601,0.006252799780346223,9.0,Forward,Australia,1,0.62,-0.49209626524421324
461,Fahad Mosaed Al Muwallad Al Harbi,0.13559432663559828,0.0061633784834362855,22.0,Forward,Saudi Arabia,3,0.62,-0.49209626524421324
462,Andrew Nabbout,0.1253577878668403,0.006267889393342015,20.0,Forward,Australia,2,0.62,-0.49209626524421324
463,Josip Drmic,0.12464316043231458,0.006232158021615729,20.0,Forward,Switzerland,2,0.62,-0.49209626524421324
464,Marcos Danilo Ureña Porras,0.123533690177159,0.00617668450885795,20.0,Forward,Costa Rica,2,0.62,-0.49209626524421324
465,Cristhian Ricardo Stuani Curbelo,0.11816664684599824,0.006219297202420961,19.0,Forward,Uruguay,2,0.62,-0.49209626524421324
466,Jonathan Matías Urretaviscaya da Luz,0.1131043864996098,0.0062835770277561,18.0,Wing,Uruguay,1,0.62,-0.49209626524421324
467,Tomi Jurić,0.11289620893110038,0.006272011607283354,18.0,Forward,Australia,3,0.62,-0.49209626524421324
468,Jón Daði Böðvarsson,0.1105142163265656,0.006139678684809201,18.0,Forward,Iceland,1,0.62,-0.49209626524421324
469,Adnan Januzaj,0.13806820650122914,0.006275827568237688,22.0,Wing,Belgium,1,0.62,-0.49209626524421324
470,Aleksandr Erokhin,0.10444570552841106,0.0061438650310830034,17.0,Wing,Russia,2,0.62,-0.49209626524421324
471,Mario Gavranović,0.10310267375476968,0.006064863162045276,17.0,Striker,Switzerland,2,0.62,-0.49209626524421324
472,Leon Goretzka,0.13823622887306683,0.006283464948775765,22.0,Wing,Germany,1,0.62,-0.49209626524421324
473,Odion Jude Ighalo,0.099391220364334,0.006211951272770875,16.0,Forward,Nigeria,3,0.62,-0.49209626524421324
474,Cheikh N'Doye,0.09895229061455448,0.006184518163409655,16.0,Forward,Senegal,2,0.62,-0.49209626524421324
475,Isaac Kiese Thelin,0.09847469104470524,0.006154668190294078,16.0,Forward,Sweden,3,0.62,-0.49209626524421324
476,Raúl Alonso Jiménez Rodríguez,0.09834380445205675,0.006146487778253547,16.0,Wing,Mexico,2,0.62,-0.49209626524421324
477,Gabriel Arturo Torres Tejada,0.09463421528527863,0.006308947685685242,15.0,Forward,Panama,2,0.62,-0.49209626524421324
478,Björn Bergmann Sigurðarson,0.09239087964300877,0.006159391976200584,15.0,Forward,Iceland,3,0.62,-0.49209626524421324
479,Mohammad Ibrahim Al Sahlawi,0.08839928151714287,0.006314234394081633,14.0,Forward,Saudi Arabia,2,0.62,-0.49209626524421324
480,Keita Baldé Diao,0.08785658241331813,0.0062754701723798665,14.0,Wing,Senegal,1,0.62,-0.49209626524421324
481,Mario Gómez García,0.08122092331432562,0.0062477633318712015,13.0,Forward,Germany,3,0.62,-0.49209626524421324
482,Marko Pjaca,0.1420227308406603,0.006174901340898274,23.0,Wing,Croatia,3,0.62,-0.49209626524421324
483,Ayoub El Kaabi,0.07535073553289187,0.006279227961074323,12.0,Forward,Morocco,2,0.62,-0.49209626524421324
484,Nemanja Radonjić,0.06908080756082025,0.006280073414620022,11.0,Wing,Switzerland,2,0.62,-0.49209626524421324
485,Jamie Vardy,0.14408855107778754,0.0062647196120777186,23.0,Forward,England,4,0.62,-0.49209626524421324
486,Jakub Błaszczykowski,0.06160478366262947,0.006160478366262947,10.0,Wing,Poland,1,0.62,-0.49209626524421324
487,Rodrigo Moreno Machado,0.06083454642747465,0.006083454642747465,10.0,Forward,Spain,3,0.62,-0.49209626524421324
488,Christian Bolaños Navarro,0.21948658490572956,0.006271045283020845,35.0,Wing,Costa Rica,2,0.62,-0.49209626524421324
489,Amine Harit,0.18673602793349203,0.006224534264449734,30.0,Wing,Morocco,1,0.62,-0.49209626524421324
490,Karim Ansarifard,0.2246561605224968,0.006240448903402689,36.0,Wing,Iran,3,0.62,-0.49209626524421324
491,Ismaïla Sarr,0.4410987493513441,0.006212658441568227,71.0,Wing,Senegal,3,0.62,-0.49209626524421324
492,Wahbi Khazri,0.49792086170269645,0.006147171132132055,81.0,Forward,Tunisia,3,0.62,-0.49209626524421324
493,Julian Draxler,0.5008771794012032,0.006183668881496337,81.0,Wing,Germany,2,0.62,-0.49209626524421324
494,M'Baye Babacar Niang,0.534562371725143,0.006215841531687709,86.0,Forward,Senegal,3,0.62,-0.49209626524421324
495,Hirving Rodrigo Lozano Bahena,0.5536097516110196,0.006151219462344662,90.0,Wing,Mexico,4,0.62,-0.49209626524421324
496,Timo Werner,0.5621784806531437,0.006246427562812708,90.0,Forward,Germany,3,0.62,-0.49209626524421324
497,Mahmoud Ibrahim Hassan,0.5665115798940603,0.006225401976857806,91.0,Wing,Egypt,3,0.62,-0.49209626524421324
498,Denis Cheryshev,0.572851261804036,0.00622664415004387,92.0,Wing,Egypt,5,0.62,-0.49209626524421324
499,Sadio Mané,0.5784296196550046,0.006219673329623705,93.0,Wing,Senegal,3,0.62,-0.49209626524421324
500,Daler Kuzyaev,0.5968826692518799,0.006217527804707083,96.0,Wing,Egypt,5,0.62,-0.49209626524421324
501,Romelu Lukaku Menama,0.6034003435409376,0.006157146362662629,98.0,Wing,Belgium,6,0.62,-0.49209626524421324
502,Radamel Falcao García Zárate,0.6514961176631582,0.006204724930125316,105.0,Forward,Colombia,4,0.62,-0.49209626524421324
503,Thomas Müller,0.7013926121794014,0.006207014267074349,113.0,Wing,Germany,3,0.62,-0.49209626524421324
504,Miguel Arturo Layún Prado,0.7452656465147057,0.006159220219129799,121.0,Wing,Mexico,4,0.62,-0.49209626524421324
505,Blaise Matuidi,0.74829307100881,0.0061335497623672955,122.0,Wing,France,5,0.62,-0.49209626524421324
506,Bryan Ruiz González,0.7523391870795365,0.006166714648192922,122.0,Wing,Costa Rica,3,0.62,-0.49209626524421324
507,Fernando Luiz Rosa,0.7783276181300346,0.0062266209450402765,125.0,Forward,Brazil,5,0.62,-0.49209626524421324
508,Hakim Ziyech,0.8108437727759708,0.006237259790584391,130.0,Wing,Morocco,3,0.62,-0.49209626524421324
509,Dries Mertens,0.8176910120218133,0.006148052721968521,133.0,Forward,Belgium,6,0.62,-0.49209626524421324
510,Olivier Giroud,0.8232161950492098,0.006236486326130377,132.0,Forward,France,7,0.62,-0.49209626524421324
511,Andrej Kramarić,0.883969009583135,0.006181601465616329,143.0,Forward,Croatia,7,0.62,-0.49209626524421324
512,Abdalla Mahmoud El Said Bekhit,0.917566179939093,0.006241946802306755,147.0,Wing,Egypt,3,0.62,-0.49209626524421324
513,Aleksandr Samedov,0.9699499092636434,0.006257741350088022,155.0,Wing,Russia,5,0.62,-0.49209626524421324
514,Mario Mandžukić,1.0028208139381212,0.0061522749321357125,163.0,Forward,Croatia,6,0.62,-0.49209626524421324
515,Juan Guillermo Cuadrado Bello,1.0652643823643997,0.006157597585921385,173.0,Forward,Colombia,4,0.62,-0.49209626524421324
516,Ivan Perišić,1.2913928436226523,0.006178913127381111,209.0,Wing,Croatia,7,0.62,-0.49209626524421324
517,Fyodor Smolov,0.4506489860626987,0.00625901369531526,72.0,Forward,Russia,5,0.62,-0.49209626524421324
518,Robert Lewandowski,0.45720982004424365,0.006263148219784159,73.0,Forward,Poland,3,0.62,-0.49209626524421324
519,Nicolai Jørgensen,0.3195549556193701,0.00626578344351706,51.0,Forward,Denmark,3,0.62,-0.49209626524421324
520,Sergio Leonel Agüero del Castillo,0.38455387557982856,0.00610402977110839,63.0,Forward,Iceland,3,0.62,-0.49209626524421324
521,Kelechi Promise Iheanacho,0.2641272668330054,0.006142494577511754,43.0,Forward,Iceland,3,0.62,-0.49209626524421324
522,Johan Alberto Venegas Ulloa,0.27382770704114573,0.006223356978207858,44.0,Wing,Costa Rica,2,0.62,-0.49209626524421324
523,José Paolo Guerrero González,0.2984505440663451,0.006217719668048856,48.0,Forward,Peru,3,0.62,-0.49209626524421324
524,Filip Kostić,0.3069291301933287,0.006263859799863851,49.0,Wing,Serbia,3,0.62,-0.49209626524421324
525,Alfreð Finnbogason,0.31422244516149833,0.00616122441493134,51.0,Forward,Iceland,3,0.62,-0.49209626524421324
526,Johann Berg Guðmunds­son,0.3151354591895837,0.006179126650776151,51.0,Wing,Iceland,2,0.62,-0.49209626524421324
527,Douglas Costa de Souza,0.31866498640733826,0.006128172815525736,52.0,Wing,Brazil,2,0.62,-0.49209626524421324
528,Marwan Mohsen,0.33450761455363426,0.006194585454696931,54.0,Forward,Egypt,3,0.62,-0.49209626524421324
529,Ahmed Musa,0.38117884856689216,0.006148045944627293,62.0,Forward,Nigeria,3,0.62,-0.49209626524421324
530,Joel Nathaniel Campbell Samuels,0.22056776710486223,0.006126882419579507,36.0,Forward,Costa Rica,2,0.62,-0.49209626524421324
531,Javier Hernández Balcázar,0.41172567929700343,0.006145159392492589,67.0,Forward,Mexico,4,0.62,-0.49209626524421324
532,Diego da Silva Costa,0.39094698427162844,0.006108546629244194,64.0,Forward,Spain,4,0.62,-0.49209626524421324
533,Gonçalo Manuel Ganchinho Guedes,0.3849790727857042,0.00620933988364039,62.0,Forward,Portugal,3,0.62,-0.49209626524421324
534,Amr Medhat Warda,0.41714145652831724,0.006225991888482347,67.0,Wing,Egypt,3,0.62,-0.49209626524421324
535,Edgar Yoel Bárcenas Herrera,0.4010251311789509,0.006266017674671108,64.0,Wing,Panama,3,0.62,-0.49209626524421324
536,José Luis Rodríguez Francis,0.40401226653953265,0.006215573331377426,65.0,Wing,Panama,3,0.62,-0.49209626524421324
537,James David Rodríguez Rubio,0.6261014945585714,0.0060202066784478024,104.0,Wing,Colombia,3,0.61,-1.9045948043711651
538,Pontus Jansson,0.35009482847651296,0.005933810652144288,59.0,Back,England,2,0.61,-2.0720060684584043
539,Łukasz Piszczek,0.661019713195678,0.006009270119960709,110.0,Back,Poland,2,0.61,-2.0720060684584043
540,Hamdi Nagguez,0.6120279236703295,0.00605968241257752,101.0,Back,Tunisia,2,0.61,-2.0720060684584043
541,Nicolás Hernán Otamendi,1.793901359975861,0.006060477567486017,296.0,Back,Argentina,4,0.61,-2.0720060684584043
542,Gabriel Iván Mercado,1.1168825092716876,0.006037202752819933,185.0,Back,Argentina,3,0.61,-2.0720060684584043
543,Michał Pazdan,0.9649758380840494,0.006069030428201568,159.0,Back,Poland,2,0.61,-2.0720060684584043
544,Nicolás Alejandro Tagliafico,1.414239264531164,0.00604375754073147,234.0,Back,Argentina,4,0.61,-2.0720060684584043
545,Hyun-Soo Jang,0.5670731845000239,0.005969191415789725,95.0,Back,South Korea,3,0.61,-2.0720060684584043
546,Ali Maâloul,0.6725191631075955,0.006004635384889246,112.0,Back,Tunisia,2,0.61,-2.0720060684584043
547,Daniel Carvajal Ramos,1.1004477099739651,0.006079821602066105,181.0,Back,Spain,3,0.61,-2.0720060684584043
548,Lionel Andrés Messi Cuccittini,1.2298422959535036,0.006088328197789622,202.0,Midfield,Argentina,4,0.61,-2.138688994202059
549,Javier Alejandro Mascherano,2.117903667330709,0.00608593007853652,348.0,Midfield,Argentina,4,0.61,-2.138688994202059
550,Marcos Javier Acuña,0.28861683882540756,0.00589013956786546,49.0,Midfield,Argentina,1,0.61,-2.138688994202059
551,Yannick Ferreira Carrasco,0.5749767997079274,0.006052387365346604,95.0,Midfield,Belgium,4,0.61,-2.138688994202059
552,Marcelo Brozović,2.3129727152335184,0.006102830383201896,379.0,Midfield,Denmark,6,0.61,-2.138688994202059
553,Maximiliano Eduardo Meza,0.7004902637618282,0.006038709170360588,116.0,Midfield,Argentina,4,0.61,-2.138688994202059
554,Thiago Alcântara do Nascimento,0.6953331087116218,0.005892653463657812,118.0,Midfield,Spain,2,0.61,-2.138688994202059
555,Andrés Iniesta Luján,1.73935168555291,0.006102988370361088,285.0,Midfield,Spain,4,0.61,-2.138688994202059
556,Sung-Yeung Ki,0.508849381995849,0.005986463317598223,85.0,Midfield,South Korea,2,0.61,-2.138688994202059
557,Saîf-Eddine Khaoui,0.2132151474170945,0.005762571551813364,37.0,Midfield,Tunisia,1,0.61,-2.138688994202059
558,Enzo Nicolás Pérez,0.685777068167807,0.006015588317261465,114.0,Midfield,Argentina,3,0.61,-2.138688994202059
